gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
891100328	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/133314	Animalia	Chordata	Squamata		Scincidae	Tiliqua	Tiliqua multifasciata		SPECIES	Tiliqua multifasciata Sternfeld, 1919	Tiliqua multifasciata		AU		Northern Territory	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-23.54545	133.865505	9992.0						1999-03-18T00:00:00	18	3	1999	2462540	2462540	HUMAN_OBSERVATION	iNaturalist	Observations	133314		Paul Freed	2012-10-10T00:02:09	CC_BY_4_0	Paul Freed	Paul Freed			2023-11-08T06:41:20.299Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
691151721	fa375330-6c8a-11de-8226-b8a03c50a862	81afe349-fc38-4270-83ee-1b2f16967a58	Animalia	Chordata	Squamata		Scincidae	Tiliqua	Tiliqua multifasciata		SPECIES	Tiliqua multifasciata Sternfeld, 1919	Tiliqua multifasciata	Sternfeld, 1919	AU		Northern Territory	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-22.9725	133.7778		1.0E-4					2010-04-18T00:00:00	18	4	2010	2462540	2462540	PRESERVED_SPECIMEN	SAMA	Herpetology	R65371				CC_BY_4_0		Hutchinson, Mark;South Australian Museum Rabosky, Dr Dan;University of Michigan Oliver, Dr Paul			2023-09-07T11:26:01.973Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
691141602	fa375330-6c8a-11de-8226-b8a03c50a862	a90b7fe5-2c3f-463f-9f3b-887b467f39b6	Animalia	Chordata	Squamata		Scincidae	Tiliqua	Tiliqua multifasciata		SPECIES	Tiliqua multifasciata Sternfeld, 1919	Tiliqua multifasciata	Sternfeld, 1919	AU		Western Australia	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-25.8319	128.4644		1.0E-4					2006-09-28T00:00:00	28	9	2006	2462540	2462540	PRESERVED_SPECIMEN	SAMA	Herpetology	R62205				CC_BY_4_0		Hutchinson, Mark;South Australian Museum Donnellan, Prof Steve;South Australian Museum Doughty, Paul			2023-09-07T11:26:02.379Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
657406191	7a25f7aa-03fb-4322-aaeb-66719e1a9527	f55752a6-b24c-4afc-924a-b9a7b6c36646	Animalia	Chordata	Squamata		Scincidae	Tiliqua	Tiliqua multifasciata		SPECIES	Tiliqua multifasciata Sternfeld, 1919	Tiliqua multifasciata		AU		Western Australia	PRESENT	1	493fe050-055d-11d8-b84f-b8a03c50a862	-28.4	123.033333							1967-09-20T00:00:00	20	9	1967	2462540	2462540	PRESERVED_SPECIMEN	LACM	Herps	63542	I 12067			CC0_1_0		E.R. Pianka		Native	2023-09-27T16:01:51.817Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
500800079	fa375330-6c8a-11de-8226-b8a03c50a862	aa61f251-4ec3-412f-b9b8-c280cdc04c57	Animalia	Chordata	Squamata		Scincidae	Tiliqua	Tiliqua multifasciata		SPECIES	Tiliqua multifasciata Sternfeld, 1919	Tiliqua multifasciata	Sternfeld, 1919	AU		Northern Territory	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-21.6267	133.7433		1.0E-4					2003-12-09T00:00:00	9	12	2003	2462540	2462540	PRESERVED_SPECIMEN	SAMA	Herpetology	R58369				CC_BY_4_0		Hutchinson, M.;Skinner, A.;Scanlon, J.			2023-09-07T11:26:02.749Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500796213	fa375330-6c8a-11de-8226-b8a03c50a862	7b2563ee-79ad-4716-b210-4a6cd84ef9e0	Animalia	Chordata	Squamata		Scincidae	Tiliqua	Tiliqua multifasciata		SPECIES	Tiliqua multifasciata Sternfeld, 1919	Tiliqua multifasciata	Sternfeld, 1919	AU		South Australia	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-27.0842	129.7389		1.0E-4					2001-09-25T00:00:00	25	9	2001	2462540	2462540	PRESERVED_SPECIMEN	SAMA	Herpetology	R56496				CC_BY_4_0		, M. Hutchinson;, C. Kemper			2023-09-07T11:26:01.959Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500791612	fa375330-6c8a-11de-8226-b8a03c50a862	51e51df1-fac9-4da5-9d13-eaaf7bc15ceb	Animalia	Chordata	Squamata		Scincidae	Tiliqua	Tiliqua multifasciata		SPECIES	Tiliqua multifasciata Sternfeld, 1919	Tiliqua multifasciata	Sternfeld, 1919	AU		Northern Territory	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-19.3472	134.6792		1.0E-4					2000-05-10T00:00:00	10	5	2000	2462540	2462540	PRESERVED_SPECIMEN	SAMA	Herpetology	R54039				CC_BY_4_0		Hutchinson;Mark;Smith;A, Sarah;Foster;Ralph			2023-09-07T11:26:03.749Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500791369	fa375330-6c8a-11de-8226-b8a03c50a862	528eb489-efcd-41e0-b290-7921aa041dbe	Animalia	Chordata	Squamata		Scincidae	Tiliqua	Tiliqua multifasciata		SPECIES	Tiliqua multifasciata Sternfeld, 1919	Tiliqua multifasciata	Sternfeld, 1919	AU		Western Australia	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-17.6747	122.2147		1.0E-4					2000-06-20T00:00:00	20	6	2000	2462540	2462540	PRESERVED_SPECIMEN	SAMA	Herpetology	R53936				CC_BY_4_0		G, Armstrong;, J. Birrell			2023-09-07T11:26:01.580Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500785540	fa375330-6c8a-11de-8226-b8a03c50a862	8e32fdc2-2468-4afb-a101-01a70f603c6c	Animalia	Chordata	Squamata		Scincidae	Tiliqua	Tiliqua multifasciata		SPECIES	Tiliqua multifasciata Sternfeld, 1919	Tiliqua multifasciata	Sternfeld, 1919	AU		South Australia	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-26.1186	137.6172		1.0E-4					1998-09-12T00:00:00	12	9	1998	2462540	2462540	PRESERVED_SPECIMEN	SAMA	Herpetology	R51396				CC_BY_4_0		Berry, O			2023-09-07T11:26:03.987Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500782113	fa375330-6c8a-11de-8226-b8a03c50a862	091c12a8-7c75-43d1-a852-310071b1af14	Animalia	Chordata	Squamata		Scincidae	Tiliqua	Tiliqua multifasciata		SPECIES	Tiliqua multifasciata Sternfeld, 1919	Tiliqua multifasciata	Sternfeld, 1919	AU		South Australia	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-26.3228	136.8164		1.0E-4					1997-09-22T00:00:00	22	9	1997	2462540	2462540	PRESERVED_SPECIMEN	SAMA	Herpetology	R49978				CC_BY_4_0		Utchinson, M. H;Oster, R. F			2023-09-07T11:26:00.960Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
500782104	fa375330-6c8a-11de-8226-b8a03c50a862	1bf96178-5ef3-4bdb-9f7c-30453e0c06e3	Animalia	Chordata	Squamata		Scincidae	Tiliqua	Tiliqua multifasciata		SPECIES	Tiliqua multifasciata Sternfeld, 1919	Tiliqua multifasciata	Sternfeld, 1919	AU		South Australia	PRESENT		4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	-26.3722	136.8253		1.0E-4					1997-09-14T00:00:00	14	9	1997	2462540	2462540	PRESERVED_SPECIMEN	SAMA	Herpetology	R49974				CC_BY_4_0		Utchinson, M. H;Oster, R. F			2023-09-07T11:26:03.829Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
